2019-05-05 14:05:32 INFO  HomePage:29 - # Verified Unibet logo is displayed in page
2019-05-05 14:05:33 INFO  HomePage:35 - # Clicked on OK button to allow cookie collection
2019-05-05 14:05:35 INFO  HomePage:40 - # Clicked on Blog Menu button to view options
2019-05-05 14:05:40 INFO  HomePage:47 - # Performed search for string: prerna
2019-05-05 14:06:49 INFO  HomePage:29 - # Verified Unibet logo is displayed in page
2019-05-05 14:06:49 INFO  HomePage:35 - # Clicked on OK button to allow cookie collection
2019-05-05 14:06:52 INFO  HomePage:40 - # Clicked on Blog Menu button to view options
2019-05-05 14:06:57 INFO  HomePage:47 - # Performed search for string: Prerna
2019-05-05 14:06:57 INFO  SearchResultPage:35 - # Verified search result page has been loaded successfully
2019-05-05 14:06:58 INFO  SearchResultPage:40 - # Verifying searched text 'Prerna' is present in the blog
2019-05-05 14:06:58 INFO  SearchResultPage:46 - # Verifying 'No search results' is being displayed on screen
2019-05-05 14:07:46 INFO  HomePage:29 - # Verified Unibet logo is displayed in page
2019-05-05 14:07:47 INFO  HomePage:35 - # Clicked on OK button to allow cookie collection
2019-05-05 14:07:49 INFO  HomePage:40 - # Clicked on Blog Menu button to view options
2019-05-05 14:07:54 INFO  HomePage:47 - # Performed search for string: Poker
2019-05-05 14:07:54 INFO  SearchResultPage:35 - # Verified search result page has been loaded successfully
2019-05-05 14:07:55 INFO  SearchResultPage:40 - # Verifying searched text 'Poker' is present in the blog
2019-05-05 14:07:55 INFO  SearchResultPage:74 - # Verifying searched text 'Poker' is present in paragraph 'back in january, a bizarre moment of tv camera jiggery-pokery made it briefly look like jurgen klopp had made xherdan shaqiri disappear in the aftermath of the fa cup defeat to wolves. the how-did-that-happen moment was quickly shared online to capture the clicks but since then it’s a snapshot that has taken on added meaning as the swiss international has been notable by his absence for liverpool. sunday’s attritional stalemate at everton was a case in point.'
2019-05-05 14:07:55 INFO  SearchResultPage:74 - # Verifying searched text 'Poker' is present in paragraph 'i like poker school, but he probably had a hard enough race at sandown last saturday. charbel and top notch both carry 6lb penalties in the 32red casino chase at 2.05pm and, as impressive as the former was at huntingdon, i fancy top notch.'
2019-05-05 14:07:55 INFO  SearchResultPage:74 - # Verifying searched text 'Poker' is present in paragraph 'com/promotions/poker-promotions/jackpot-mania  '
